County Name/State Abbreviation,Year,Force,Employed,Unemployed,(%)
"Pulaski County, AR",2007,"191,162     ","182,117     ","9,045     ",4.7     
"Randolph County, AR",2007,"7,666     ","6,956     ",710     ,9.3     
"St. Francis County, AR",2007,"10,561     ","9,546     ","1,015     ",9.6     
"Saline County, AR",2007,"49,069     ","47,019     ","2,050     ",4.2     
"Scott County, AR",2007,"4,880     ","4,655     ",225     ,4.6     
"Searcy County, AR",2007,"3,628     ","3,451     ",177     ,4.9     
"Sebastian County, AR",2007,"62,414     ","59,205     ","3,209     ",5.1     
"Sevier County, AR",2007,"7,801     ","7,480     ",321     ,4.1     
"Sharp County, AR",2007,"6,448     ","6,015     ",433     ,6.7     
"Stone County, AR",2007,"4,804     ","4,531     ",273     ,5.7     
"Union County, AR",2007,"19,462     ","18,130     ","1,332     ",6.8     
"Van Buren County, AR",2007,"7,058     ","6,640     ",418     ,5.9     
"Washington County, AR",2007,"104,859     ","100,817     ","4,042     ",3.9     
"White County, AR",2007,"32,094     ","29,988     ","2,106     ",6.6     
"Woodruff County, AR",2007,"3,539     ","3,231     ",308     ,8.7     
"Yell County, AR",2007,"10,645     ","10,189     ",456     ,4.3     
"Alameda County, CA",2007,"745,198     ","710,144     ","35,054     ",4.7     
"Alpine County, CA",2007,493     ,454     ,39     ,7.9     
"Amador County, CA",2007,"17,703     ","16,675     ","1,028     ",5.8     
"Butte County, CA",2007,"101,228     ","94,489     ","6,739     ",6.7     
"Calaveras County, CA",2007,"20,725     ","19,394     ","1,331     ",6.4     
"Colusa County, CA",2007,"10,217     ","9,015     ","1,202     ",11.8     
"Contra Costa County, CA",2007,"514,317     ","490,220     ","24,097     ",4.7     
"Del Norte County, CA",2007,"11,029     ","10,199     ",830     ,7.5     
"El Dorado County, CA",2007,"90,382     ","85,707     ","4,675     ",5.2     
"Fresno County, CA",2007,"418,579     ","382,789     ","35,790     ",8.6     
"Glenn County, CA",2007,"11,975     ","10,921     ","1,054     ",8.8     
"Humboldt County, CA",2007,"59,282     ","55,775     ","3,507     ",5.9     
"Imperial County, CA",2007,"65,967     ","54,052     ","11,915     ",18.1     
"Inyo County, CA",2007,"8,885     ","8,447     ",438     ,4.9     
"Kern County, CA",2007,"345,187     ","316,959     ","28,228     ",8.2     
"Kings County, CA",2007,"57,327     ","52,353     ","4,974     ",8.7     
"Lake County, CA",2007,"24,041     ","22,010     ","2,031     ",8.4     
"Lassen County, CA",2007,"12,436     ","11,422     ","1,014     ",8.2     
"Los Angeles County, CA",2007,"4,864,160     ","4,614,776     ","249,384     ",5.1     
"Madera County, CA",2007,"63,365     ","58,620     ","4,745     ",7.5     
"Marin County, CA",2007,"131,904     ","127,083     ","4,821     ",3.7     
"Mariposa County, CA",2007,"9,061     ","8,515     ",546     ,6.0     
"Mendocino County, CA",2007,"43,115     ","40,744     ","2,371     ",5.5     
"Merced County, CA",2007,"99,843     ","89,797     ","10,046     ",10.1     
"Modoc County, CA",2007,"3,896     ","3,582     ",314     ,8.1     
"Mono County, CA",2007,"8,132     ","7,741     ",391     ,4.8     
"Monterey County, CA",2007,"205,460     ","190,781     ","14,679     ",7.1     
"Napa County, CA",2007,"73,232     ","70,286     ","2,946     ",4.0     
"Nevada County, CA",2007,"50,125     ","47,719     ","2,406     ",4.8     
"Orange County, CA",2007,"1,606,177     ","1,543,703     ","62,474     ",3.9     
"Placer County, CA",2007,"172,478     ","164,247     ","8,231     ",4.8     
"Plumas County, CA",2007,"9,948     ","9,099     ",849     ,8.5     
"Riverside County, CA",2007,"902,047     ","847,618     ","54,429     ",6.0     
"Sacramento County, CA",2007,"675,800     ","639,075     ","36,725     ",5.4     
"San Benito County, CA",2007,"24,005     ","22,269     ","1,736     ",7.2     
"San Bernardino County, CA",2007,"862,191     ","813,867     ","48,324     ",5.6     
"San Diego County, CA",2007,"1,515,351     ","1,446,347     ","69,004     ",4.6     
"San Francisco County/city, CA",2007,"432,564     ","414,199     ","18,365     ",4.2     
"San Joaquin County, CA",2007,"288,638     ","265,279     ","23,359     ",8.1     
"San Luis Obispo County, CA",2007,"134,026     ","128,276     ","5,750     ",4.3     
"San Mateo County, CA",2007,"369,503     ","355,415     ","14,088     ",3.8     
"Santa Barbara County, CA",2007,"213,473     ","204,163     ","9,310     ",4.4     
"Santa Clara County, CA",2007,"843,437     ","803,877     ","39,560     ",4.7     
"Santa Cruz County, CA",2007,"144,713     ","136,158     ","8,555     ",5.9     
"Shasta County, CA",2007,"82,540     ","76,350     ","6,190     ",7.5     
"Sierra County, CA",2007,"1,610     ","1,482     ",128     ,8.0     
"Siskiyou County, CA",2007,"18,786     ","17,192     ","1,594     ",8.5     
"Solano County, CA",2007,"208,196     ","197,214     ","10,982     ",5.3     
"Sonoma County, CA",2007,"257,316     ","246,143     ","11,173     ",4.3     
"Stanislaus County, CA",2007,"226,889     ","207,202     ","19,687     ",8.7     
"Sutter County, CA",2007,"40,987     ","37,022     ","3,965     ",9.7     
"Tehama County, CA",2007,"24,859     ","23,061     ","1,798     ",7.2     
"Trinity County, CA",2007,"5,024     ","4,499     ",525     ,10.4     
"Tulare County, CA",2007,"191,568     ","173,855     ","17,713     ",9.2     
"Tuolumne County, CA",2007,"25,775     ","24,176     ","1,599     ",6.2     
"Ventura County, CA",2007,"423,062     ","402,396     ","20,666     ",4.9     
"Yolo County, CA",2007,"97,518     ","91,928     ","5,590     ",5.7     
"Yuba County, CA",2007,"27,345     ","24,813     ","2,532     ",9.3     
"Adams County, CO",2007,"219,560     ","210,306     ","9,254     ",4.2     
"Alamosa County, CO",2007,"8,352     ","8,022     ",330     ,4.0     
"Arapahoe County, CO",2007,"304,913     ","293,497     ","11,416     ",3.7     
"Archuleta County, CO",2007,"6,604     ","6,354     ",250     ,3.8     
"Baca County, CO",2007,"2,398     ","2,338     ",60     ,2.5     
"Bent County, CO",2007,"2,424     ","2,307     ",117     ,4.8     
"Boulder County, CO",2007,"173,647     ","167,953     ","5,694     ",3.3     
"Broomfield County/city, CO",2007,"29,984     ","28,928     ","1,056     ",3.5     
"Chaffee County, CO",2007,"8,211     ","7,918     ",293     ,3.6     
"Cheyenne County, CO",2007,"1,366     ","1,332     ",34     ,2.5     
"Clear Creek County, CO",2007,"5,648     ","5,441     ",207     ,3.7     
"Conejos County, CO",2007,"3,640     ","3,438     ",202     ,5.5     
"Costilla County, CO",2007,"1,303     ","1,211     ",92     ,7.1     
"Crowley County, CO",2007,"1,923     ","1,802     ",121     ,6.3     
"Custer County, CO",2007,"1,994     ","1,915     ",79     ,4.0     
"Delta County, CO",2007,"16,412     ","15,871     ",541     ,3.3     
"Denver County/city, CO",2007,"314,781     ","301,750     ","13,031     ",4.1     
"Dolores County, CO",2007,"1,030     ",979     ,51     ,5.0     
"Douglas County, CO",2007,"154,953     ","150,126     ","4,827     ",3.1     
"Eagle County, CO",2007,"30,929     ","30,053     ",876     ,2.8     
"Elbert County, CO",2007,"12,798     ","12,327     ",471     ,3.7     
"El Paso County, CO",2007,"297,494     ","284,858     ","12,636     ",4.2     
"Fremont County, CO",2007,"19,646     ","18,720     ",926     ,4.7     
"Garfield County, CO",2007,"34,945     ","34,088     ",857     ,2.5     
"Gilpin County, CO",2007,"3,414     ","3,295     ",119     ,3.5     
"Grand County, CO",2007,"9,158     ","8,920     ",238     ,2.6     
"Gunnison County, CO",2007,"9,522     ","9,254     ",268     ,2.8     
"Hinsdale County, CO",2007,608     ,591     ,17     ,2.8     
"Huerfano County, CO",2007,"3,353     ","3,194     ",159     ,4.7     
"Jackson County, CO",2007,"1,103     ","1,075     ",28     ,2.5     
"Jefferson County, CO",2007,"303,357     ","292,287     ","11,070     ",3.6     
"Kiowa County, CO",2007,911     ,887     ,24     ,2.6     
"Kit Carson County, CO",2007,"4,475     ","4,355     ",120     ,2.7     
"Lake County, CO",2007,"4,028     ","3,884     ",144     ,3.6     
"La Plata County, CO",2007,"31,007     ","30,143     ",864     ,2.8     
"Larimer County, CO",2007,"172,024     ","166,224     ","5,800     ",3.4     
"Las Animas County, CO",2007,"8,695     ","8,381     ",314     ,3.6     
"Lincoln County, CO",2007,"3,014     ","2,922     ",92     ,3.1     
"Logan County, CO",2007,"11,321     ","10,975     ",346     ,3.1     
"Mesa County, CO",2007,"77,873     ","75,412     ","2,461     ",3.2     
"Mineral County, CO",2007,471     ,451     ,20     ,4.2     
"Moffat County, CO",2007,"8,521     ","8,260     ",261     ,3.1     
"Montezuma County, CO",2007,"13,172     ","12,664     ",508     ,3.9     
"Montrose County, CO",2007,"20,744     ","20,003     ",741     ,3.6     
"Morgan County, CO",2007,"14,221     ","13,746     ",475     ,3.3     
"Otero County, CO",2007,"8,813     ","8,374     ",439     ,5.0     
"Ouray County, CO",2007,"3,051     ","2,962     ",89     ,2.9     
"Park County, CO",2007,"9,602     ","9,256     ",346     ,3.6     
"Phillips County, CO",2007,"2,420     ","2,354     ",66     ,2.7     
"Pitkin County, CO",2007,"11,271     ","10,967     ",304     ,2.7     
"Prowers County, CO",2007,"6,790     ","6,556     ",234     ,3.4     
"Pueblo County, CO",2007,"71,808     ","68,431     ","3,377     ",4.7     
"Rio Blanco County, CO",2007,"5,344     ","5,234     ",110     ,2.1     
"Rio Grande County, CO",2007,"6,543     ","6,284     ",259     ,4.0     
"Routt County, CO",2007,"15,692     ","15,285     ",407     ,2.6     
"Saguache County, CO",2007,"3,158     ","2,993     ",165     ,5.2     
"San Juan County, CO",2007,563     ,540     ,23     ,4.1     
"San Miguel County, CO",2007,"5,652     ","5,477     ",175     ,3.1     
"Sedgwick County, CO",2007,"1,826     ","1,786     ",40     ,2.2     
"Summit County, CO",2007,"17,129     ","16,663     ",466     ,2.7     
"Teller County, CO",2007,"12,415     ","11,936     ",479     ,3.9     
"Washington County, CO",2007,"2,880     ","2,803     ",77     ,2.7     
"Weld County, CO",2007,"117,044     ","112,271     ","4,773     ",4.1     
"Yuma County, CO",2007,"6,734     ","6,591     ",143     ,2.1     
"Fairfield County, CT",2007,"466,532     ","448,188     ","18,344     ",3.9     
"Hartford County, CT",2007,"452,749     ","430,746     ","22,003     ",4.9     
"Litchfield County, CT",2007,"104,535     ","100,133     ","4,402     ",4.2     
"Middlesex County, CT",2007,"93,011     ","89,397     ","3,614     ",3.9     
"New Haven County, CT",2007,"444,223     ","422,247     ","21,976     ",4.9     
"New London County, CT",2007,"147,559     ","141,400     ","6,159     ",4.2     
"Tolland County, CT",2007,"83,967     ","80,742     ","3,225     ",3.8     
"Windham County, CT",2007,"63,624     ","60,303     ","3,321     ",5.2     
"Kent County, DE",2007,"75,038     ","72,517     ","2,521     ",3.4     
"New Castle County, DE",2007,"275,852     ","266,221     ","9,631     ",3.5     
"Sussex County, DE",2007,"92,683     ","89,574     ","3,109     ",3.4     
District of Columbia,2007,"322,237     ","304,426     ","17,811     ",5.5     
"Alachua County, FL",2007,"129,010     ","125,102     ","3,908     ",3.0     
"Baker County, FL",2007,"11,913     ","11,477     ",436     ,3.7     
"Bay County, FL",2007,"86,754     ","83,532     ","3,222     ",3.7     
"Bradford County, FL",2007,"12,341     ","11,917     ",424     ,3.4     
"Brevard County, FL",2007,"265,782     ","254,099     ","11,683     ",4.4     
"Broward County, FL",2007,"1,000,426     ","964,482     ","35,944     ",3.6     
"Calhoun County, FL",2007,"5,550     ","5,345     ",205     ,3.7     
"Charlotte County, FL",2007,"69,876     ","66,269     ","3,607     ",5.2     
"Citrus County, FL",2007,"55,641     ","52,797     ","2,844     ",5.1     
"Clay County, FL",2007,"93,804     ","90,475     ","3,329     ",3.5     
"Collier County, FL",2007,"151,925     ","145,183     ","6,742     ",4.4     
"Columbia County, FL",2007,"30,955     ","29,823     ","1,132     ",3.7     
"DeSoto County, FL",2007,"14,328     ","13,620     ",708     ,4.9     
"Dixie County, FL",2007,"5,535     ","5,290     ",245     ,4.4     
"Duval County, FL",2007,"441,216     ","422,676     ","18,540     ",4.2     
"Escambia County, FL",2007,"140,808     ","135,212     ","5,596     ",4.0     
"Flagler County, FL",2007,"30,928     ","28,887     ","2,041     ",6.6     
"Franklin County, FL",2007,"4,922     ","4,763     ",159     ,3.2     
"Gadsden County, FL",2007,"20,770     ","19,853     ",917     ,4.4     
"Gilchrist County, FL",2007,"7,613     ","7,318     ",295     ,3.9     
"Glades County, FL",2007,"4,789     ","4,559     ",230     ,4.8     
"Gulf County, FL",2007,"6,269     ","6,027     ",242     ,3.9     
"Hamilton County, FL",2007,"4,627     ","4,411     ",216     ,4.7     
"Hardee County, FL",2007,"11,858     ","11,313     ",545     ,4.6     
"Hendry County, FL",2007,"18,008     ","16,654     ","1,354     ",7.5     
"Hernando County, FL",2007,"61,681     ","58,059     ","3,622     ",5.9     
"Highlands County, FL",2007,"40,249     ","38,284     ","1,965     ",4.9     
"Hillsborough County, FL",2007,"595,244     ","570,539     ","24,705     ",4.2     
"Holmes County, FL",2007,"8,769     ","8,455     ",314     ,3.6     
"Indian River County, FL",2007,"62,723     ","59,155     ","3,568     ",5.7     
"Jackson County, FL",2007,"21,538     ","20,679     ",859     ,4.0     
"Jefferson County, FL",2007,"6,749     ","6,519     ",230     ,3.4     
"Lafayette County, FL",2007,"2,921     ","2,833     ",88     ,3.0     
"Lake County, FL",2007,"132,744     ","127,162     ","5,582     ",4.2     
"Lee County, FL",2007,"290,882     ","277,066     ","13,816     ",4.7     
"Leon County, FL",2007,"144,890     ","140,326     ","4,564     ",3.1     
"Levy County, FL",2007,"16,793     ","16,072     ",721     ,4.3     
"Liberty County, FL",2007,"3,667     ","3,563     ",104     ,2.8     
"Madison County, FL",2007,"6,954     ","6,526     ",428     ,6.2     
"Manatee County, FL",2007,"147,550     ","141,381     ","6,169     ",4.2     
"Marion County, FL",2007,"137,247     ","130,851     ","6,396     ",4.7     
"Martin County, FL",2007,"64,940     ","62,057     ","2,883     ",4.4     
"Miami-Dade County, FL",2007,"1,226,005     ","1,188,136     ","37,869     ",3.1     
"Monroe County, FL",2007,"44,757     ","43,532     ","1,225     ",2.7     
"Nassau County, FL",2007,"35,191     ","33,994     ","1,197     ",3.4     
"Okaloosa County, FL",2007,"97,527     ","94,552     ","2,975     ",3.1     
"Okeechobee County, FL",2007,"17,537     ","16,608     ",929     ,5.3     
"Orange County, FL",2007,"594,761     ","571,946     ","22,815     ",3.8     
"Osceola County, FL",2007,"132,902     ","127,164     ","5,738     ",4.3     
"Palm Beach County, FL",2007,"626,062     ","598,221     ","27,841     ",4.4     
"Pasco County, FL",2007,"193,243     ","183,551     ","9,692     ",5.0     
"Pinellas County, FL",2007,"450,329     ","431,617     ","18,712     ",4.2     
"Polk County, FL",2007,"268,193     ","255,915     ","12,278     ",4.6     
"Putnam County, FL",2007,"31,945     ","30,420     ","1,525     ",4.8     
"St. Johns County, FL",2007,"92,427     ","89,382     ","3,045     ",3.3     
"St. Lucie County, FL",2007,"123,851     ","116,666     ","7,185     ",5.8     
"Santa Rosa County, FL",2007,"69,649     ","67,061     ","2,588     ",3.7     
"Sarasota County, FL",2007,"171,609     ","163,784     ","7,825     ",4.6     
"Seminole County, FL",2007,"238,644     ","229,929     ","8,715     ",3.7     
"Sumter County, FL",2007,"31,509     ","30,390     ","1,119     ",3.6     
"Suwannee County, FL",2007,"17,350     ","16,707     ",643     ,3.7     
"Taylor County, FL",2007,"8,814     ","8,431     ",383     ,4.3     
"Union County, FL",2007,"5,136     ","4,973     ",163     ,3.2     
"Volusia County, FL",2007,"252,491     ","241,896     ","10,595     ",4.2     
"Wakulla County, FL",2007,"15,109     ","14,650     ",459     ,3.0     
"Walton County, FL",2007,"31,252     ","30,380     ",872     ,2.8     
"Washington County, FL",2007,"9,652     ","9,259     ",393     ,4.1     
"Appling County, GA",2007,"9,079     ","8,599     ",480     ,5.3     
"Atkinson County, GA",2007,"3,390     ","3,198     ",192     ,5.7     
"Bacon County, GA",2007,"4,738     ","4,511     ",227     ,4.8     
"Baker County, GA",2007,"1,657     ","1,574     ",83     ,5.0     
"Baldwin County, GA",2007,"20,745     ","19,590     ","1,155     ",5.6     
"Banks County, GA",2007,"10,601     ","10,283     ",318     ,3.0     
"Barrow County, GA",2007,"33,863     ","32,447     ","1,416     ",4.2     
"Bartow County, GA",2007,"45,865     ","43,620     ","2,245     ",4.9     
"Ben Hill County, GA",2007,"7,891     ","7,348     ",543     ,6.9     
"Berrien County, GA",2007,"8,801     ","8,419     ",382     ,4.3     
"Bibb County, GA",2007,"73,788     ","69,952     ","3,836     ",5.2     
"Bleckley County, GA",2007,"5,364     ","5,084     ",280     ,5.2     
"Brantley County, GA",2007,"7,559     ","7,220     ",339     ,4.5     
"Brooks County, GA",2007,"8,407     ","8,047     ",360     ,4.3     
"Bryan County, GA",2007,"16,623     ","16,054     ",569     ,3.4     
"Bulloch County, GA",2007,"32,393     ","30,994     ","1,399     ",4.3     
"Burke County, GA",2007,"9,979     ","9,208     ",771     ,7.7     
"Butts County, GA",2007,"10,151     ","9,628     ",523     ,5.2     
"Calhoun County, GA",2007,"2,175     ","2,032     ",143     ,6.6     
"Camden County, GA",2007,"21,609     ","20,742     ",867     ,4.0     
"Candler County, GA",2007,"4,418     ","4,223     ",195     ,4.4     
"Carroll County, GA",2007,"53,240     ","50,688     ","2,552     ",4.8     
"Catoosa County, GA",2007,"35,453     ","34,177     ","1,276     ",3.6     
"Charlton County, GA",2007,"4,595     ","4,377     ",218     ,4.7     
"Chatham County, GA",2007,"133,680     ","128,394     ","5,286     ",4.0     
"Chattahoochee County, GA",2007,"1,704     ","1,543     ",161     ,9.4     
"Chattooga County, GA",2007,"10,922     ","10,279     ",643     ,5.9     
"Cherokee County, GA",2007,"109,716     ","105,748     ","3,968     ",3.6     
"Clarke County, GA",2007,"64,398     ","61,911     ","2,487     ",3.9     
"Clay County, GA",2007,"1,476     ","1,394     ",82     ,5.6     
"Clayton County, GA",2007,"136,206     ","128,444     ","7,762     ",5.7     
"Clinch County, GA",2007,"2,763     ","2,616     ",147     ,5.3     
"Cobb County, GA",2007,"380,566     ","365,319     ","15,247     ",4.0     
"Coffee County, GA",2007,"16,522     ","15,547     ",975     ,5.9     
"Colquitt County, GA",2007,"20,474     ","19,561     ",913     ,4.5     
"Columbia County, GA",2007,"59,917     ","57,652     ","2,265     ",3.8     
"Cook County, GA",2007,"7,134     ","6,731     ",403     ,5.6     
"Coweta County, GA",2007,"59,681     ","57,316     ","2,365     ",4.0     
"Crawford County, GA",2007,"6,124     ","5,837     ",287     ,4.7     
"Crisp County, GA",2007,"10,625     ","10,011     ",614     ,5.8     
"Dade County, GA",2007,"8,436     ","8,080     ",356     ,4.2     
"Dawson County, GA",2007,"11,103     ","10,693     ",410     ,3.7     
"Decatur County, GA",2007,"11,769     ","11,062     ",707     ,6.0     
"DeKalb County, GA",2007,"393,836     ","374,934     ","18,902     ",4.8     
"Dodge County, GA",2007,"9,524     ","9,051     ",473     ,5.0     
"Dooly County, GA",2007,"4,927     ","4,668     ",259     ,5.3     
"Dougherty County, GA",2007,"42,009     ","39,662     ","2,347     ",5.6     
"Douglas County, GA",2007,"64,829     ","61,815     ","3,014     ",4.6     
"Early County, GA",2007,"5,334     ","5,037     ",297     ,5.6     
"Echols County, GA",2007,"2,251     ","2,182     ",69     ,3.1     
"Effingham County, GA",2007,"28,501     ","27,560     ",941     ,3.3     
"Elbert County, GA",2007,"9,862     ","9,303     ",559     ,5.7     
"Emanuel County, GA",2007,"10,829     ","10,271     ",558     ,5.2     
"Evans County, GA",2007,"4,985     ","4,771     ",214     ,4.3     
"Fannin County, GA",2007,"11,000     ","10,588     ",412     ,3.7     
"Fayette County, GA",2007,"53,556     ","51,506     ","2,050     ",3.8     
"Floyd County, GA",2007,"49,791     ","47,450     ","2,341     ",4.7     
"Forsyth County, GA",2007,"84,302     ","81,520     ","2,782     ",3.3     
"Franklin County, GA",2007,"10,448     ","9,938     ",510     ,4.9     
"Fulton County, GA",2007,"488,891     ","465,409     ","23,482     ",4.8     
"Gilmer County, GA",2007,"14,221     ","13,715     ",506     ,3.6     
"Glascock County, GA",2007,"1,119     ","1,062     ",57     ,5.1     
"Glynn County, GA",2007,"40,736     ","39,275     ","1,461     ",3.6     
"Gordon County, GA",2007,"26,858     ","25,598     ","1,260     ",4.7     
"Grady County, GA",2007,"12,272     ","11,779     ",493     ,4.0     
"Greene County, GA",2007,"7,458     ","7,061     ",397     ,5.3     
"Gwinnett County, GA",2007,"421,203     ","404,504     ","16,699     ",4.0     
"Habersham County, GA",2007,"20,218     ","19,416     ",802     ,4.0     
"Hall County, GA",2007,"90,768     ","87,514     ","3,254     ",3.6     
"Hancock County, GA",2007,"3,304     ","3,027     ",277     ,8.4     
"Haralson County, GA",2007,"12,872     ","12,270     ",602     ,4.7     
"Harris County, GA",2007,"16,064     ","15,490     ",574     ,3.6     
"Hart County, GA",2007,"10,834     ","10,132     ",702     ,6.5     
"Heard County, GA",2007,"4,900     ","4,656     ",244     ,5.0     
"Henry County, GA",2007,"96,909     ","92,705     ","4,204     ",4.3     
"Houston County, GA",2007,"68,319     ","65,683     ","2,636     ",3.9     
"Irwin County, GA",2007,"4,307     ","4,048     ",259     ,6.0     
"Jackson County, GA",2007,"26,964     ","25,849     ","1,115     ",4.1     
"Jasper County, GA",2007,"6,438     ","6,129     ",309     ,4.8     
"Jeff Davis County, GA",2007,"5,267     ","4,910     ",357     ,6.8     
"Jefferson County, GA",2007,"7,098     ","6,594     ",504     ,7.1     
"Jenkins County, GA",2007,"3,329     ","3,034     ",295     ,8.9     
"Johnson County, GA",2007,"3,729     ","3,511     ",218     ,5.8     
"Jones County, GA",2007,"14,054     ","13,460     ",594     ,4.2     
"Lamar County, GA",2007,"7,923     ","7,526     ",397     ,5.0     
"Lanier County, GA",2007,"4,052     ","3,902     ",150     ,3.7     
"Laurens County, GA",2007,"22,430     ","21,304     ","1,126     ",5.0     
"Lee County, GA",2007,"17,684     ","17,042     ",642     ,3.6     
"Liberty County, GA",2007,"24,269     ","23,006     ","1,263     ",5.2     
"Lincoln County, GA",2007,"3,838     ","3,617     ",221     ,5.8     
"Long County, GA",2007,"5,928     ","5,710     ",218     ,3.7     
"Lowndes County, GA",2007,"53,698     ","51,634     ","2,064     ",3.8     
"Lumpkin County, GA",2007,"13,154     ","12,612     ",542     ,4.1     
"McDuffie County, GA",2007,"10,595     ","9,927     ",668     ,6.3     
"McIntosh County, GA",2007,"5,398     ","5,178     ",220     ,4.1     
"Macon County, GA",2007,"5,089     ","4,719     ",370     ,7.3     
"Madison County, GA",2007,"15,835     ","15,246     ",589     ,3.7     
"Marion County, GA",2007,"3,322     ","3,166     ",156     ,4.7     
"Meriwether County, GA",2007,"9,572     ","9,012     ",560     ,5.9     
"Miller County, GA",2007,"3,579     ","3,422     ",157     ,4.4     
"Mitchell County, GA",2007,"10,420     ","9,886     ",534     ,5.1     
"Monroe County, GA",2007,"13,547     ","12,994     ",553     ,4.1     
"Montgomery County, GA",2007,"4,597     ","4,385     ",212     ,4.6     
"Morgan County, GA",2007,"9,498     ","9,086     ",412     ,4.3     
"Murray County, GA",2007,"21,072     ","20,115     ",957     ,4.5     
"Muscogee County, GA",2007,"85,604     ","81,150     ","4,454     ",5.2     
"Newton County, GA",2007,"46,421     ","43,991     ","2,430     ",5.2     
"Oconee County, GA",2007,"18,031     ","17,496     ",535     ,3.0     
"Oglethorpe County, GA",2007,"7,731     ","7,434     ",297     ,3.8     
"Paulding County, GA",2007,"65,995     ","63,316     ","2,679     ",4.1     
"Peach County, GA",2007,"11,537     ","10,909     ",628     ,5.4     
"Pickens County, GA",2007,"15,150     ","14,582     ",568     ,3.7     
"Pierce County, GA",2007,"8,572     ","8,235     ",337     ,3.9     
"Pike County, GA",2007,"8,076     ","7,734     ",342     ,4.2     
"Polk County, GA",2007,"20,967     ","20,035     ",932     ,4.4     
"Pulaski County, GA",2007,"4,649     ","4,465     ",184     ,4.0     
"Putnam County, GA",2007,"10,414     ","9,960     ",454     ,4.4     
"Quitman County, GA",2007,"1,060     ","1,003     ",57     ,5.4     
"Rabun County, GA",2007,"7,277     ","6,852     ",425     ,5.8     
"Randolph County, GA",2007,"2,745     ","2,568     ",177     ,6.4     
"Richmond County, GA",2007,"90,907     ","85,362     ","5,545     ",6.1     
"Rockdale County, GA",2007,"40,365     ","38,349     ","2,016     ",5.0     
"Schley County, GA",2007,"1,823     ","1,715     ",108     ,5.9     
"Screven County, GA",2007,"7,239     ","6,888     ",351     ,4.8     
"Seminole County, GA",2007,"3,990     ","3,773     ",217     ,5.4     
"Spalding County, GA",2007,"28,269     ","26,672     ","1,597     ",5.6     
"Stephens County, GA",2007,"13,590     ","12,933     ",657     ,4.8     
"Stewart County, GA",2007,"2,272     ","2,129     ",143     ,6.3     
"Sumter County, GA",2007,"14,796     ","13,748     ","1,048     ",7.1     
"Talbot County, GA",2007,"3,160     ","2,958     ",202     ,6.4     
"Taliaferro County, GA",2007,848     ,781     ,67     ,7.9     
"Tattnall County, GA",2007,"9,144     ","8,708     ",436     ,4.8     
"Taylor County, GA",2007,"3,333     ","3,137     ",196     ,5.9     
"Telfair County, GA",2007,"4,998     ","4,612     ",386     ,7.7     
"Terrell County, GA",2007,"4,430     ","4,166     ",264     ,6.0     
"Thomas County, GA",2007,"22,989     ","22,047     ",942     ,4.1     
"Tift County, GA",2007,"19,128     ","18,121     ","1,007     ",5.3     
"Toombs County, GA",2007,"13,864     ","13,209     ",655     ,4.7     
"Towns County, GA",2007,"6,025     ","5,803     ",222     ,3.7     
"Treutlen County, GA",2007,"2,714     ","2,557     ",157     ,5.8     
"Troup County, GA",2007,"30,448     ","28,721     ","1,727     ",5.7     
"Turner County, GA",2007,"4,942     ","4,615     ",327     ,6.6     
"Twiggs County, GA",2007,"4,668     ","4,406     ",262     ,5.6     
"Union County, GA",2007,"11,442     ","11,029     ",413     ,3.6     
"Upson County, GA",2007,"12,011     ","11,244     ",767     ,6.4     
"Walker County, GA",2007,"33,084     ","31,617     ","1,467     ",4.4     
"Walton County, GA",2007,"41,084     ","39,207     ","1,877     ",4.6     
"Ware County, GA",2007,"15,148     ","14,411     ",737     ,4.9     
"Warren County, GA",2007,"2,455     ","2,271     ",184     ,7.5     
"Washington County, GA",2007,"8,333     ","7,863     ",470     ,5.6     
"Wayne County, GA",2007,"12,072     ","11,420     ",652     ,5.4     
"Webster County, GA",2007,"1,246     ","1,190     ",56     ,4.5     
"Wheeler County, GA",2007,"2,965     ","2,813     ",152     ,5.1     
"White County, GA",2007,"12,910     ","12,448     ",462     ,3.6     
"Whitfield County, GA",2007,"47,042     ","44,901     ","2,141     ",4.6     
"Wilcox County, GA",2007,"3,302     ","3,109     ",193     ,5.8     
"Wilkes County, GA",2007,"4,572     ","4,269     ",303     ,6.6     
"Wilkinson County, GA",2007,"4,584     ","4,337     ",247     ,5.4     
"Worth County, GA",2007,"10,184     ","9,640     ",544     ,5.3     
"Hawaii County, HI",2007,"84,784     ","81,772     ","3,012     ",3.6     
"Honolulu County/city, HI",2007,"442,512     ","430,846     ","11,666     ",2.6     
"Kauai County, HI",2007,"32,665     ","31,783     ",882     ,2.7     
"Maui County, HI",2007,"78,434     ","76,134     ","2,300     ",2.9     
"Ada County, ID",2007,"196,740     ","191,500     ","5,240     ",2.7     
"Adams County, ID",2007,"1,999     ","1,884     ",115     ,5.8     
"Bannock County, ID",2007,"41,291     ","40,063     ","1,228     ",3.0     
"Bear Lake County, ID",2007,"3,158     ","3,085     ",73     ,2.3     
"Benewah County, ID",2007,"4,061     ","3,811     ",250     ,6.2     
"Bingham County, ID",2007,"22,242     ","21,652     ",590     ,2.7     
"Blaine County, ID",2007,"13,677     ","13,356     ",321     ,2.3     
"Boise County, ID",2007,"3,576     ","3,453     ",123     ,3.4     
